Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD,Spend_ILS,Spend_AUD,Spend_TWD,Spend_BRL,Spend_ARS,Spend_ZAR,Spend_CLP,Spend_MXN
AR08395185106758664193,SARAH G. NORMAN,,US,,4,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR04185907356116189185,ELEICAO 2022 RAPHAELA MARIA DE OLIVEIRA MORAES VASQUES DEPUTADO FEDERAL,,BR,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0
AR17536331266041839617,DOUGHTY COMMITTEE,EIN ID 87-4531269,US,,10,4100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR06655933221160615937,CDU-Kreisverband Neustadt,,DE,,2,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR17375362763735433217,FRIENDS OF MIKE LEE INC,FEC ID C00473827,US,,179,318600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR03405196719632154625,"WOMEN'S MARCH, INC",EIN ID 81-4571869,US,,2,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR02449589173699477505,FUEGER 2020 FOR STATE ASSEMBLY,Registered in US-WI 0106228,US,,2,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR16576842031746252801,DémoB,,BE,,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR05196468287046680577,HUIZENGA FOR CONGRESS,FEC ID C00459297,US,,55,33600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR10315867199897600001,ELEICAO 2022 CARLOS WAGNER BORGES DEPUTADO FEDERAL,,BR,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0
AR02508980393785425921,FINANCE COMMITTEE FOR THOMAS OH,FEC ID C00669507,US,,5,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR16763863874389671937,PENSLER FOR SENATE,FEC ID C00663278,US,,78,55000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR14684484182772547585,ELEICAO 2022 CLAUDIO CESAR SILVA APOLINARIO DEPUTADO ESTADUAL,,BR,,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0
AR01708583860599521281,Friends of Tony Bernard,EIN ID 92-3586446,US,,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR13434713089786249217,DANIEL KEMPH FOR CONGRESS,FEC ID C00717660,US,,14,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR06508176862890426369,TUX FOR MONTANA,EIN ID 84-4677381,US,,31,5300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR05426224641968439297,ACCOUNTABLE US,EIN ID 83-4158350,US,,3,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR13815673527845519361,Maria de Lourdes Monteiro Godoy,,BR,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0
AR17075397368699944961,Mr. Satyanarayan,,IN,,1,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR02268078392572116993,Comunicación Entre Ríos,,AR,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390000,0,0,0
AR14043792160197705729,Xie Committee,Registered in US-MA 18057,US,,32,3800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR05950717526940844033,JULIEFORHOUSE,EIN ID 88-2571416,US,,67,12200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR09517231465864101889,Sozialdemokratische Partei Österreichs / SPÖ,,"AT, BE, DE",,10,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR16185262922702782465,Maria Teresa Saenz Surita Guimarães,,BR,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500,0,0,0,0
AR06854954034197954561,ADAM FRANKEL CAMPAIGN ACCOUNT,EIN ID 85-4094814,US,,2,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR06554704552845639681,ELEICAO 2022 FLAVIO SOUZA DE MATTOS DEPUTADO ESTADUAL,,BR,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6500,0,0,0,0
AR01344895152484777985,EQUALITY CALIFORNIA VOTES,FEC ID C00701797,US,,6,57700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR09790464967269416961,Eric Richman,,AU,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0
AR04747134168658345985,NOAH ARBIT FOR MICHIGAN,EIN ID 87-2051625,US,,15,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR02328836408690606081,JOSH STEIN FOR ATTORNEY GENERAL,EIN ID 47-5040088,US,,22,332600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR00180842621655056385,MANO DEAYALA CAMPAIGN,EIN ID 88-1663521,US,,1,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR05723789940559446017,AJWANG FOR CONGRESS,FEC ID C00785956,US,,3,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR17108889798552059905,DEBORAH ROSS FOR CONGRESS,FEC ID C00729277,US,,8,67800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR15882824313699565569,ELEICAO 2022 SONIA DA SILVA DEPUTADO FEDERAL,,BR,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0
AR07236897573091409921,pracharnama media pvt ltd,,IN,,1,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR04241855953755963393,Steven Choi for Senate 2024,Registered in US-CA 1458388,US,,17,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR08781396966971015169,FRIENDS OF DAN MCPHILLIPS PA,EIN ID 99-1983113,US,,6,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR15903648462634221569,Stringham for Arizona,EIN ID 93-3758360,US,,10,25300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR03068515607688249345,"O.C. ""OJ"" Oleka",Registered in US-KY ,US,,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR11055182701064617985,ALLYSON FOR CONGRESS,FEC ID C00841072,US,,1,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR12907907674162593793,Bündnis 90 / Die Grünen Frankfurt,,DE,,13,0,11050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR04696750147827138561,SERVE AMERICA PAC,FEC ID C00571174,US,,9,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR06040321402412728321,GREGG KENNARD FOR GEORGIA INC,EIN ID 84-3137058,US,,2,3900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
